Name,City,Rating,Review Count,Price,Tax,Distance From Nearby Routes,Free Cancelation,Couple Friendly,Total Amount
Hotel Annapoorna Residency,Ramgopalpet,4.0,271.0,2411,542,1.3 km drive to Hussain Sagar Lake,True,False,2953
FabHotel Arastu Plaza,Nampally,4.1,70.0,1725,461,7 minutes walk to Nampally Railway Station,True,False,2186
Hotel Sky International,Shamshabad,4.1,180.0,2053,508,8.1 km drive to Rajiv Gandhi International Airport,True,False,2561
Hotel Supraja Yellow Bells,Madhapur,3.8,48.0,1615,425,Not provided,False,False,2040
Treebo Seventh Heaven Kukatpally,Kamalaprasad Nagar,3.9,121.0,1561,368,7 minutes walk to Harsha Hospital,True,False,1929
The Plaza,Begumpet,3.9,715.0,4651,950,Not provided,True,False,5601
Hotel Minerva Grand - Kompally,Kompally,4.5,174.0,4102,838,18.1 km from city centre,True,False,4940
Viera Elite,Jubilee Hills,4.2,145.0,2797,696,Not provided,False,False,3493
Super Townhouse De Alphabet Hotel Kukatpally Nexus Mall,Kukatpally Housing Board Colony,3.8,161.0,1765,344,Not provided,True,False,2109
Super Townhouse Lakdikapul,Redhills,3.6,231.0,2814,549,2.8 km drive to Hussain Sagar Lake,True,False,3363
Super Townhouse RCC Majestic 397 LB Nagar,Champapet,4.1,236.0,1848,367,Not provided,True,False,2215
SKYLA Studios & Suites - Kondapur,Kothaguda,4.6,39.0,23980,7115,Not provided,True,False,31095
Hotel Hibiscus Tree- Bachupally,Nizampet,3.6,85.0,2129,599,Not provided,True,False,2728
Hotel The Prime,Kokapet,4.0,77.0,1790,504,Not provided,True,False,2294
Super Collection O RCC MARVEL,Dilsukh Nagar,4.4,65.0,1772,346,Not provided,True,False,2118
Serenity la Serene,Madhapur,3.9,280.0,3960,968,9 minutes walk to State Gallery of Art,True,False,4928
Hotel Greens Inn (Ramoji Film City),Anajpur,3.9,133.0,3712,823,34.0 km from city centre,True,False,4535
HOTEL CAPITAL HEIGHTS NEAR AIRPORT ZONE SHAMSHABAD,Shamshabad,3.9,657.0,1413,175,8.5 km drive to Rajiv Gandhi International Airport,True,False,1588
Hotel Shubham Prestige,Karmanghat,3.9,63.0,5649,1407,Not provided,True,False,7056
Bloom Hotel Cyber Towers,Hitec City,4.0,245.0,8370,2250,Not provided,True,False,10620
Luxor Park,Madhapur,3.6,50.0,1486,329,Not provided,True,False,1815
Hotel Pratz Inn,Gachibowli,4.1,464.0,1705,473,Not provided,True,False,2178
Super Collection O Halcyon Madhapur,Hitec City,3.8,77.0,1765,344,Not provided,True,False,2109
Heritage Inn,Ramgopalpet,4.0,254.0,2070,523,1.3 km drive to Hussain Sagar Lake,True,False,2593
Peerless Hotel Hyderabad,Rai Durg,3.6,727.0,3978,906,Not provided,True,False,4884
Townhouse Halcyon Hi-Tech City Near Medicover Hospital,Hitec City,3.4,337.0,2094,409,Not provided,True,False,2503
5 STAR GRAND,Gandiguda,3.7,60.0,990,284,9.7 km drive to Rajiv Gandhi International Airport,True,False,1274
Palladium Luxury Suites Unit II,Gachibowli,4.1,38.0,3139,641,Not provided,True,False,3780
Super Collection O Rcc Hotel Banjara Hills,Banjara Hills,4.3,138.0,2416,451,Not provided,True,False,2867
Maven Suites,Jubilee Hills,3.9,43.0,1453,362,Not provided,True,False,1815
Clarks Inn Suites Hyderabad Airport,Gaghan Pahad,5.0,3.0,6027,1231,Not provided,True,False,7258
Super Collection O De Alphabet Hotel ECIL,Kushaiguda,4.1,62.0,1670,326,17.9 km from city centre,True,False,1996
Hotel White Fields By Spring Leaf,Kondapur,4.1,107.0,2388,637,Not provided,True,False,3025
Super Townhouse Gachibowli Near Sky View,Gachibowli,4.0,138.0,2253,421,Not provided,True,False,2674
HOTEL PANCHAVATI GRAND,Shivaji Nagar,3.8,404.0,1756,504,1.9 km drive to Hussain Sagar Lake,True,False,2260
Super Capital O Qualia Gachibowli,Gachibowli,4.1,89.0,1699,317,Not provided,True,False,2016
Treebo Arastu Grand,Abids,3.7,301.0,2321,547,2.9 km drive to Salar Jung Museum,True,False,2868
Super Townhouse Rcc Pride,Kukatpally Housing Board Colony,4.3,154.0,1954,365,Not provided,True,False,2319
HOTEL YELLOW BELLS,Gachibowli,3.8,178.0,980,318,"950 m drive to AIG Gachibowli, Hyderabad",True,False,1298
FabExpress Grand Aarvi Prime,Miyapur,4.1,86.0,1567,407,Not provided,True,False,1974
BLOOM HOTEL FINANCIAL DISTRICT,Nanakram Guda,4.0,12.0,4651,950,"2.8 km drive to US Consulate, Hyderabad",True,False,5601
Super Townhouse Oak Madhapur Nera Regency,Hitec City,3.8,326.0,2502,467,Not provided,True,False,2969
Hotel Urvasi,Somajiguda,3.5,647.0,2805,790,2.1 km drive to Hussain Sagar Lake,True,False,3595
Shanbhag Hotel,Punjagutta,3.4,327.0,1485,329,Not provided,True,False,1814
Super Townhouse THE CINCO HOTEL NEAR ESI HOSPITAL ( SR NAGAR),Sanath Nagar,3.5,244.0,1759,343,Not provided,True,False,2102
Hotel Kanha Grand,Redhills,3.8,110.0,1615,402,Not provided,True,False,2017
Our Nest,Begumpet,3.7,1080.0,1420,394,2.4 km drive to Hussain Sagar Lake,False,False,1814
Super Capital O Vaishnavi,Secunderabad,3.4,753.0,1521,297,2.2 km drive to Hussain Sagar Lake,True,False,1818
treeyo hotels,Moula Ali,4.0,42.0,1922,485,17.3 km from city centre,True,False,2407
